id,type,address,neighbourhood,rent,totalCost,area,bedrooms,bathrooms,parkingSpaces,isFurnished,segment,rentPerSqm
895522746,StudioOuKitchenette,Rua Ettore Lantieri,Ipiranga,2130,2986,32,1,1,0,True,studio_1q,66.56
893224328,StudioOuKitchenette,Rua João Pais,Santo Amaro,1850,3022,35,1,1,0,False,studio_1q,52.86
894755600,StudioOuKitchenette,Rua Bento Freitas,República,2900,3687,28,1,1,0,True,studio_1q,103.57
893696366,StudioOuKitchenette,Rua Alves Guimarães,Pinheiros,4000,4677,25,1,1,0,True,studio_1q,160.0
895609585,StudioOuKitchenette,Rua Doutor Fadlo Haidar,Vila Olímpia,3500,4392,25,1,1,0,True,studio_1q,140.0
895599184,StudioOuKitchenette,Rua Valério de Carvalho,Pinheiros,2900,3549,25,1,1,0,True,studio_1q,116.0
894051818,StudioOuKitchenette,Rua Gabriele D’annunzio,Campo Belo,3400,4284,35,1,1,1,True,studio_1q,97.14
895542717,StudioOuKitchenette,Rua Capitão Pacheco E Chaves,Vila Prudente,1800,2230,26,1,1,0,False,studio_1q,69.23
894366013,StudioOuKitchenette,Rua Agostinho Lattari,Vila Prudente,1700,1966,27,1,1,0,False,studio_1q,62.96
893019942,StudioOuKitchenette,Avenida São Miguel,Vila Marieta,1560,1912,25,1,1,1,True,studio_1q,62.4
894000354,StudioOuKitchenette,Avenida Miruna,Indianópolis,3100,4446,38,1,1,1,True,studio_1q,81.58
895033232,StudioOuKitchenette,Rua José Manuel da Fonseca Júnior,Vila Matilde,2100,2876,27,1,1,0,False,studio_1q,77.78
895440873,StudioOuKitchenette,Alameda Raja Gabaglia,Vila Olímpia,3590,4172,24,1,1,0,True,studio_1q,149.58
894967352,StudioOuKitchenette,Rua Stela Marina,Campo Belo,3500,4286,35,1,1,0,True,studio_1q,100.0
895022208,StudioOuKitchenette,Rua Adolfo D8217ávila,Jardim Analia Franco,1990,2317,53,1,1,0,False,studio_1q,37.55
893073005,StudioOuKitchenette,Rua Augusto Reginato,Vila Carrão,1150,1530,33,1,1,0,False,studio_1q,34.85
894564721,StudioOuKitchenette,Rua Herval,Belenzinho,3500,3835,42,1,1,0,True,studio_1q,83.33
895390626,StudioOuKitchenette,Travessa Francisco Pasquali,Vila Dalva,810,841,25,1,1,0,False,studio_1q,32.4
895421067,StudioOuKitchenette,Alameda Ribeirão Preto,Bela Vista,2800,3397,25,1,1,0,True,studio_1q,112.0
893753509,StudioOuKitchenette,Rua Doutor Bacelar,Vila Clementino,2700,2809,20,1,1,0,True,studio_1q,135.0
894759783,StudioOuKitchenette,Alameda dos Nhambiquaras,Moema,3590,4528,40,1,1,1,True,studio_1q,89.75
893711018,StudioOuKitchenette,Rua Maria Antônia,Vila Buarque,1830,2667,40,1,1,0,False,studio_1q,45.75
894494282,StudioOuKitchenette,Rua dos Jacintos,Mirandópolis,3300,3948,26,1,1,0,True,studio_1q,126.92
895321146,StudioOuKitchenette,Rua Doutor Homem de Melo,Perdizes,2950,3744,30,1,1,0,False,studio_1q,98.33
895463514,StudioOuKitchenette,Rua Henrique Schaumann,Pinheiros,3000,4016,25,1,1,0,True,studio_1q,120.0
895489704,StudioOuKitchenette,Rua Quatá,Vila Olímpia,6900,8708,56,1,1,1,True,studio_1q,123.21
895053481,StudioOuKitchenette,Rua Correia Dias,Paraíso,2910,3652,24,1,1,0,True,studio_1q,121.25
894257608,StudioOuKitchenette,Rua Barata Ribeiro,Bela Vista,2350,2914,18,1,1,0,True,studio_1q,130.56
894900565,StudioOuKitchenette,Rua Chilon,Vila Olímpia,5940,7069,42,1,1,1,True,studio_1q,141.43
894726209,StudioOuKitchenette,Rua André Gouveia,Aclimação,1500,1718,20,1,1,0,True,studio_1q,75.0
895605011,StudioOuKitchenette,Rua Frei Caneca,Bela Vista,2700,3726,32,1,1,0,True,studio_1q,84.38
895135675,StudioOuKitchenette,Avenida da Liberdade,Liberdade,2850,3665,29,1,1,1,True,studio_1q,98.28
893461889,StudioOuKitchenette,Rua da Consolação,Cerqueira César,2346,3321,30,1,1,1,False,studio_1q,78.2
893719047,StudioOuKitchenette,Rua Tapari,Vila Esperança,1240,1632,23,1,1,0,False,studio_1q,53.91
895488694,StudioOuKitchenette,Alameda dos Arapanés,Indianópolis,4100,4988,28,1,1,0,True,studio_1q,146.43
895606475,StudioOuKitchenette,Rua Líbero Badaró,Centro Histórico de São Paulo,2110,2643,28,1,1,0,True,studio_1q,75.36
894907767,StudioOuKitchenette,Rua Paracuê,Sumaré,2500,3379,28,1,1,0,False,studio_1q,89.29
894132559,StudioOuKitchenette,Rua Janguruçu,Parque da Mooca,3000,3336,36,1,1,1,False,studio_1q,83.33
894478387,StudioOuKitchenette,Rua Fradique Coutinho,Vila Madalena,4500,5974,24,1,1,0,True,studio_1q,187.5
893525148,StudioOuKitchenette,Rua Doutor Cesário Mota Júnior,Vila Buarque,2400,2961,30,1,1,0,True,studio_1q,80.0
895609807,StudioOuKitchenette,Rua Marselhesa,Vila Mariana,3200,4534,35,1,1,1,True,studio_1q,91.43
894603441,StudioOuKitchenette,Avenida Roque Petroni Junior,Jardim das Acácias,3580,4518,37,1,1,0,True,studio_1q,96.76
895108752,StudioOuKitchenette,Avenida Nazaré,Ipiranga,2600,3199,29,1,1,0,True,studio_1q,89.66
893104723,StudioOuKitchenette,Rua Dona Avelina,Vila Mariana,1650,2154,24,1,1,0,True,studio_1q,68.75
893962735,StudioOuKitchenette,Rua Stela Marina,Brooklin Paulista,2690,3420,24,1,1,0,True,studio_1q,112.08
895591399,StudioOuKitchenette,Rua Fernão Dias,Pinheiros,3600,4440,25,1,1,0,True,studio_1q,144.0
895504500,StudioOuKitchenette,Rua Conde Luiz Eduardo Matarazzo,Vila São Silvestre (zona Leste),2040,2118,33,1,1,0,True,studio_1q,61.82
895450013,StudioOuKitchenette,Rua Hipódromo,Mooca,2620,3071,29,1,1,0,False,studio_1q,90.34
895527996,StudioOuKitchenette,Avenida São Gabriel,Jardim Paulista,5600,7418,43,1,1,1,True,studio_1q,130.23
893957855,StudioOuKitchenette,Avenida Corifeu de Azevedo Marques,Jd. Rio Pequeno,1700,1766,20,1,1,0,False,studio_1q,85.0
893521220,StudioOuKitchenette,Rua Paranhos Pederneiras,Vila Guilherme,861,936,20,1,1,0,False,studio_1q,43.05
895151381,StudioOuKitchenette,Rua Paulistânia,Sumarezinho,3230,3814,32,1,1,0,True,studio_1q,100.94
895595302,StudioOuKitchenette,Rua Coronel Pedro Dias de Campos,Chácara Seis de Outubro,1500,2241,36,1,1,0,False,studio_1q,41.67
