id,type,address,neighbourhood,regionName,city,rent,totalCost,iptuPlusCondominium,salePrice,area,bedrooms,bathrooms,suites,parkingSpaces,isFurnished,forRent,forSale,isPrimaryMarket,visitStatus,listingTags,activeSpecialConditions,amenities,installations,categories,shortRentDescription,coverImage,segment,rentPerSqm,scraped_at
895311121,StudioOuKitchenette,Rua das Sempre-vivas,Jardim das Acacias,Brooklin,São Paulo,2570,3345,676,400000.0,22,0,1,0,0,True,True,True,False,ACCEPT_NEW,[],[],"[""VISTA_LIVRE"", ""COOKTOP"", ""MESAS_E_CADEIRAS_DE_ESCRITORIO"", ""COZINHA_AMERICANA"", ""MICROONDAS"", ""ARMARIOS_NOS_BANHEIROS"", ""AR_CONDICIONADO"", ""BOX"", ""FOGAO_INCLUSO"", ""CAMA_DE_CASAL"", ""CHUVEIRO_A_GAS"", ""VARANDA"", ""RUA_SILENCIOSA"", ""ARMARIOS_EMBUTIDOS_NO_QUARTO"", ""GELADEIRA_INCLUSO"", ""SOL_DA_MANHA"", ""ARMARIOS_NA_COZINHA"", ""LUMINOSIDADE_NATURAL"", ""MESAS_E_CADEIRAS_DE_JANTAR"", ""TELEVISAO""]","[""SALAO_DE_FESTAS"", ""ACADEMIA"", ""AREA_VERDE"", ""LAVANDERIA_NO_PREDIO"", ""PISCINA"", ""PERTO_DE_METRO_OU_TREM""]",[],Alugar kitnet mobiliada com varanda no Jardim das Acacias.,original895311121-980.5267306359685IMG8644.jpeg,studio_0q,116.82,2026-05-05 13:18:59
895338799,StudioOuKitchenette,Rua Capiacaci,Penha de França,Penha de França,São Paulo,1260,1558,250,0.0,27,0,1,0,0,False,True,False,False,ACCEPT_NEW,[],"[""Exclusivity""]","[""BOX"", ""ARMARIOS_NA_COZINHA"", ""AREA_DE_SERVICO"", ""PODE_TER_ANIMAIS_DE_ESTIMACAO"", ""TANQUE""]","[""SALAO_DE_FESTAS"", ""PERTO_DE_METRO_OU_TREM""]",[],"Studio para alugar na Penha de França, aceita animais de estimação.",original895338799-980.6792393577986DSC0004.jpg,studio_0q,46.67,2026-05-05 13:18:59
895360749,StudioOuKitchenette,Rua Santo Amaro,Bela Vista,Bela Vista,São Paulo,2850,3814,854,465600.0,39,0,1,0,1,True,True,True,False,ACCEPT_NEW,[],"[""Exclusivity""]","[""COOKTOP"", ""QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS"", ""MESAS_E_CADEIRAS_DE_ESCRITORIO"", ""MICROONDAS"", ""COZINHA_AMERICANA"", ""ARMARIOS_NOS_BANHEIROS"", ""AR_CONDICIONADO"", ""BOX"", ""CAMA_DE_CASAL"", ""SOL_DA_TARDE"", ""PODE_TER_ANIMAIS_DE_ESTIMACAO"", ""CLOSET"", ""VARANDA"", ""GELADEIRA_INCLUSO"", ""ARMARIOS_EMBUTIDOS_NO_QUARTO"", ""ARMARIOS_NA_COZINHA"", ""LUMINOSIDADE_NATURAL"", ""MESAS_E_CADEIRAS_DE_JANTAR"", ""TELEVISAO""]","[""SALAO_DE_FESTAS"", ""CORRIMAO"", ""ACADEMIA"", ""AREA_VERDE"", ""LAVANDERIA_NO_PREDIO"", ""VAGA_DE_GARAGEM_ACESSIVEL"", ""PISCINA"", ""PERTO_DE_METRO_OU_TREM"", ""RAMPAS_DE_ACESSO"", ""PISO_TATIL""]",[],"Kitnet para alugar, com varanda e piscina no condomínio, totalmente mobiliada.",original895360749-765.056248702135926607491.jpg,studio_0q,73.08,2026-05-05 13:18:59
895354672,StudioOuKitchenette,Rua Doutor Alfredo Ellis,Bela Vista,Bela Vista,São Paulo,2448,3036,493,0.0,29,0,1,0,0,True,True,False,False,ACCEPT_NEW,[],"[""Exclusivity"", ""Negotiated""]","[""VISTA_LIVRE"", ""COOKTOP"", ""QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS"", ""COZINHA_AMERICANA"", ""MICROONDAS"", ""ARMARIOS_NOS_BANHEIROS"", ""AR_CONDICIONADO"", ""BOX"", ""CAMA_DE_CASAL"", ""PODE_TER_ANIMAIS_DE_ESTIMACAO"", ""SOFA"", ""VARANDA"", ""RUA_SILENCIOSA"", ""ARMARIOS_EMBUTIDOS_NO_QUARTO"", ""GELADEIRA_INCLUSO"", ""SOL_DA_MANHA"", ""ARMARIOS_NA_COZINHA"", ""LUMINOSIDADE_NATURAL"", ""MESAS_E_CADEIRAS_DE_JANTAR"", ""TELEVISAO""]","[""SALAO_DE_FESTAS"", ""ACADEMIA"", ""AREA_VERDE"", ""LAVANDERIA_NO_PREDIO"", ""PERTO_DE_METRO_OU_TREM"", ""RAMPAS_DE_ACESSO"", ""PISO_TATIL""]",[],"Kitnet mobiliada para aluguel na Bela Vista, aceita animais de estimação.",original895354672-810.955234638491826546721.jpg,studio_0q,84.41,2026-05-05 13:18:59
895152036,StudioOuKitchenette,Rua Dona Brígida,Vila Mariana,Vila Mariana,São Paulo,3500,4359,724,340400.0,25,0,1,0,0,False,True,True,False,ACCEPT_NEW,[],[],"[""VISTA_LIVRE"", ""SOL_DA_MANHA"", ""LUMINOSIDADE_NATURAL"", ""SOL_DA_TARDE""]","[""SALAO_DE_FESTAS"", ""CORRIMAO"", ""ACADEMIA"", ""LAVANDERIA_NO_PREDIO"", ""AREA_VERDE"", ""QUADRA_ESPORTIVA"", ""PERTO_DE_METRO_OU_TREM"", ""RAMPAS_DE_ACESSO""]",[],Studio na Vila Mariana para alugar.,original895152036-427.06500361379085IMG8337.jpg,studio_0q,140.0,2026-05-05 13:18:59
895229497,StudioOuKitchenette,Avenida Doutor Chucri Zaidan,Vila Cordeiro,Brooklin,São Paulo,3700,4342,500,420000.0,24,0,1,0,0,False,True,False,False,ACCEPT_NEW,[],[],"[""VISTA_LIVRE"", ""VARANDA"", ""COZINHA_AMERICANA"", ""SOL_DA_MANHA"", ""LUMINOSIDADE_NATURAL"", ""PODE_TER_ANIMAIS_DE_ESTIMACAO""]","[""SALAO_DE_FESTAS"", ""ACADEMIA"", ""LAVANDERIA_NO_PREDIO"", ""AREA_VERDE"", ""PISCINA"", ""SALAO_DE_JOGOS""]",[],Kitnet para alugar na Vila Cordeiro com piscina e permite animais.,original895229497-150.958213950675IMG4721.jpeg,studio_0q,154.17,2026-05-05 13:18:59
894084838,StudioOuKitchenette,Rua Stela Marina,Brooklin,Brooklin,São Paulo,4900,5739,650,590000.0,25,0,1,0,0,True,True,True,False,ACCEPT_NEW,[],"[""Exclusivity"", ""Negotiated""]","[""VISTA_LIVRE"", ""COOKTOP"", ""MESAS_E_CADEIRAS_DE_ESCRITORIO"", ""ARMARIOS_NOS_BANHEIROS"", ""COZINHA_AMERICANA"", ""MICROONDAS"", ""AR_CONDICIONADO"", ""BOX"", ""CAMA_DE_CASAL"", ""UTENSILIOS_DE_COZINHA"", ""VARANDA"", ""RUA_SILENCIOSA"", ""ARMARIOS_EMBUTIDOS_NO_QUARTO"", ""GELADEIRA_INCLUSO"", ""SOL_DA_MANHA"", ""LUMINOSIDADE_NATURAL"", ""ARMARIOS_NA_COZINHA"", ""CHUVEIRO_ELETRICO"", ""MESAS_E_CADEIRAS_DE_JANTAR"", ""TELEVISAO""]","[""SALAO_DE_FESTAS"", ""ACADEMIA"", ""AREA_VERDE"", ""LAVANDERIA_NO_PREDIO"", ""PISCINA"", ""SALAO_DE_JOGOS"", ""PERTO_DE_METRO_OU_TREM""]",[],Alugar kitnet mobiliada no Brooklin com varanda e piscina no condomínio.,original894084838-765.9079357075643IMG7382.jpeg,studio_0q,196.0,2026-05-05 13:18:59
894009139,StudioOuKitchenette,Rua João José Pacheco,Jardim Vila Mariana,Vila Mariana,São Paulo,2471,3246,680,420000.0,22,0,1,0,0,True,True,True,False,ACCEPT_NEW,[],"[""Exclusivity""]","[""VISTA_LIVRE"", ""QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS"", ""COOKTOP"", ""ARMARIOS_NOS_BANHEIROS"", ""AR_CONDICIONADO"", ""BOX"", ""CAMA_DE_CASAL"", ""VARANDA"", ""ARMARIOS_EMBUTIDOS_NO_QUARTO"", ""GELADEIRA_INCLUSO"", ""SOL_DA_MANHA"", ""ARMARIOS_NA_COZINHA"", ""LUMINOSIDADE_NATURAL"", ""TELEVISAO""]","[""CORRIMAO"", ""LAVANDERIA_NO_PREDIO"", ""PERTO_DE_METRO_OU_TREM"", ""RAMPAS_DE_ACESSO"", ""PISO_TATIL""]",[],Studio mobiliado com varanda para alugar. Aproveite o conforto e a praticidade deste imóvel.,894009139-889.7713079930976IMG5252.jpg,studio_0q,112.32,2026-05-05 13:18:59
895287669,StudioOuKitchenette,Avenida Onze de Junho,Vila Clementino,Vila Clementino,São Paulo,2300,2989,600,480000.0,25,0,1,0,1,False,True,True,False,ACCEPT_NEW,[],[],"[""VISTA_LIVRE"", ""QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS"", ""VARANDA"", ""RUA_SILENCIOSA"", ""SOL_DA_MANHA"", ""LUMINOSIDADE_NATURAL"", ""PODE_TER_ANIMAIS_DE_ESTIMACAO""]","[""ACADEMIA"", ""LAVANDERIA_NO_PREDIO"", ""PERTO_DE_METRO_OU_TREM"", ""RAMPAS_DE_ACESSO"", ""PISO_TATIL""]",[],Kitnet para alugar com academia no condomínio.,original895287669-26.684309157875894IMG6287.jpeg,studio_0q,92.0,2026-05-05 13:18:59
894648810,StudioOuKitchenette,Rua Álvaro Guimarães,Bela Vista,Bela Vista,São Paulo,6000,7253,1021,524000.0,32,0,1,0,1,True,True,True,False,ACCEPT_NEW,[],"[""Exclusivity""]","[""VISTA_LIVRE"", ""COOKTOP"", ""COZINHA_AMERICANA"", ""MICROONDAS"", ""ARMARIOS_NOS_BANHEIROS"", ""AR_CONDICIONADO"", ""BOX"", ""CAMA_DE_CASAL"", ""CHUVEIRO_A_GAS"", ""SOFA"", ""VARANDA"", ""ARMARIOS_EMBUTIDOS_NO_QUARTO"", ""GELADEIRA_INCLUSO"", ""SOL_DA_MANHA"", ""ARMARIOS_NA_COZINHA"", ""LUMINOSIDADE_NATURAL"", ""MESAS_E_CADEIRAS_DE_JANTAR"", ""TELEVISAO""]","[""SALAO_DE_FESTAS"", ""ACADEMIA"", ""AREA_VERDE"", ""LAVANDERIA_NO_PREDIO"", ""VAGA_DE_GARAGEM_ACESSIVEL"", ""PISCINA"", ""PERTO_DE_METRO_OU_TREM"", ""SAUNA"", ""RAMPAS_DE_ACESSO""]",[],,894648810-72.4214215828303819488107.jpg,studio_0q,187.5,2026-05-05 13:18:59
