id,type,address,neighbourhood,rent,totalCost,area,bedrooms,bathrooms,parkingSpaces,isFurnished,segment,rentPerSqm
895345417,StudioOuKitchenette,Rua Luís Góis,Mirandópolis,2000,2477,38,0,1,0,True,studio_0q,52.63
895345420,StudioOuKitchenette,Rua Luís Góis,Mirandópolis,2200,2501,40,0,1,0,True,studio_0q,55.0
894084838,StudioOuKitchenette,Rua Stela Marina,Brooklin,4900,5739,25,0,1,0,True,studio_0q,196.0
894816233,StudioOuKitchenette,Rua Azevedo Macedo,Vila Mariana,2699,3593,23,0,1,0,True,studio_0q,117.35
894688628,StudioOuKitchenette,Rua Doutor Penaforte Mendes,Bela Vista,2780,3327,25,0,1,0,True,studio_0q,111.2
895311124,StudioOuKitchenette,Rua das Sempre-vivas,Jardim das Acacias,2570,3345,22,0,1,0,True,studio_0q,116.82
894740583,StudioOuKitchenette,Avenida Vereador José Diniz,Santo Amaro,2830,3198,28,0,1,0,True,studio_0q,101.07
894452833,StudioOuKitchenette,Rua Sena Madureira,Vila Clementino,2856,3410,27,0,1,0,False,studio_0q,105.78
895152036,StudioOuKitchenette,Rua Dona Brígida,Vila Mariana,3500,4359,25,0,1,0,False,studio_0q,140.0
895365071,StudioOuKitchenette,Rua João de Sousa Dias,Campo Belo,3000,3816,35,0,1,0,True,studio_0q,85.71
895287669,StudioOuKitchenette,Avenida Onze de Junho,Vila Clementino,2300,2989,25,0,1,1,False,studio_0q,92.0
894879177,StudioOuKitchenette,Rua Borges Lagoa,Vila Clementino,2790,3665,27,0,1,0,True,studio_0q,103.33
895480499,StudioOuKitchenette,Rua Godói Colaço,Vila Cordeiro,2500,2996,25,0,1,0,False,studio_0q,100.0
893782549,StudioOuKitchenette,Rua da Consolação,Consolação,2392,2984,25,0,1,0,True,studio_0q,95.68
895229497,StudioOuKitchenette,Avenida Doutor Chucri Zaidan,Vila Cordeiro,4100,4758,24,0,1,0,False,studio_0q,170.83
894448091,StudioOuKitchenette,Rua Alfredo Pujol,Santana,2430,2981,26,0,1,0,True,studio_0q,93.46
893073595,StudioOuKitchenette,Rua Tabatinguera,Sé,1850,2371,22,0,1,0,True,studio_0q,84.09
894621441,StudioOuKitchenette,Rua Laplace,Campo Belo,2890,3621,24,0,1,0,True,studio_0q,120.42
894819620,StudioOuKitchenette,Rua Potiguar Medeiros,Pinheiros,3800,4627,25,0,1,0,False,studio_0q,152.0
894648810,StudioOuKitchenette,Rua Álvaro Guimarães,Bela Vista,6000,7253,32,0,1,1,True,studio_0q,187.5
894009139,StudioOuKitchenette,Rua João José Pacheco,Jardim Vila Mariana,2471,3246,22,0,1,0,True,studio_0q,112.32
895338799,StudioOuKitchenette,Rua Capiacaci,Penha de França,1260,1558,27,0,1,0,False,studio_0q,46.67
895360749,StudioOuKitchenette,Rua Santo Amaro,Bela Vista,2850,3814,39,0,1,1,True,studio_0q,73.08
895311121,StudioOuKitchenette,Rua das Sempre-vivas,Jardim das Acacias,2570,3345,22,0,1,0,True,studio_0q,116.82
894728837,StudioOuKitchenette,Rua Gualaxo,Aclimação,2700,3248,27,0,1,0,True,studio_0q,100.0
894386103,StudioOuKitchenette,Rua Stela Marina,Campo Belo,5900,6757,24,0,1,1,True,studio_0q,245.83
894208614,StudioOuKitchenette,Rua Doutor Ângelo Vita,Vila Zilda (tatuapé),920,995,15,0,1,0,False,studio_0q,61.33
894643427,StudioOuKitchenette,Avenida General Ataliba Leonel,Santana,1450,3730,35,0,1,1,False,studio_0q,41.43
894698761,StudioOuKitchenette,Avenida Brigadeiro Luís Antônio,Bela Vista,1490,1607,18,0,1,0,False,studio_0q,82.78
895311304,StudioOuKitchenette,Rua das Sempre-vivas,Jardim das Acacias,2570,3345,22,0,1,0,True,studio_0q,116.82
894734277,StudioOuKitchenette,Rua Coronel Lisboa,Vila Mariana,2800,3607,21,0,1,0,True,studio_0q,133.33
894857700,StudioOuKitchenette,Rua Alexandre Dumas,Chácara Santo Antônio (zona Sul),3350,4138,25,0,1,0,True,studio_0q,134.0
894757360,StudioOuKitchenette,Rua do Estilo Barroco,Santo Amaro,3300,4165,29,0,1,0,False,studio_0q,113.79
894551894,StudioOuKitchenette,Rua das Sempre-vivas,Jardim das Acacias,3200,3873,22,0,1,0,True,studio_0q,145.45
893976325,StudioOuKitchenette,Rua Dráusio,Butantã,2730,3327,28,0,1,0,False,studio_0q,97.5
894802662,StudioOuKitchenette,Rua João de Lacerda Soares,Jardim das Acacias,3300,3875,31,0,1,0,False,studio_0q,106.45
894088462,StudioOuKitchenette,Avenida Vereador José Diniz,Campo Belo,2250,3137,33,0,1,1,False,studio_0q,68.18
894139400,StudioOuKitchenette,Rua Joaquim Oliveira Freitas,Vila Mangalot,1350,1462,30,0,1,0,False,studio_0q,45.0
893971822,StudioOuKitchenette,Rua Rubens Sverner,Chácara Santo Antônio (zona Sul),2280,2465,35,0,1,0,True,studio_0q,65.14
